concepto,descripcion
gráficos dinámicos,"Un sistema dinámico es un sistema cuyo estado evoluciona con el tiempo. Los sistemas físicos en situación no estacionaria son ejemplos de sistemas dinámicos, pero también existen modelos económicos, matemáticos y de otros tipos que son sistemas abstractos y, a su vez, sistemas dinámicos. El comportamiento en dicho estado se puede caracterizar determinando los límites del sistema, los elementos y sus relaciones; de esta forma se pueden elaborar modelos que buscan representar la estructura del mismo sistema."
colores en visualización,"La visualización de datos es un campo de estudio interdisciplinario cuyo objeto es la representación de datos en formato gráfico. Como forma de comunicación, es particularmente eficiente cuando la cantidad de datos a representar es grande, por ejemplo en el caso de series temporales y/o big data. Desde un punto de vista académico esta representación se puede considerar como un mapeo (proyección) entre los datos originales (normalmente numéricos) y elementos gráficos de la representación visual (por ejemplo líneas o puntos). El mapeo determina cómo los atributos de dichos elementos varían según los datos.​     "
principios de percepción visual,"La percepción visual es un proceso activo con el cual el cerebro puede transformar la información lumínica captada por el ojo en una recreación de la realidad externa. ""La percepción visual es la interpretación o discriminación de los estímulos externos visuales relacionados con el conocimiento previo y el estado emocional del individuo""[cita requerida]. Es la capacidad de interpretar la información y el entorno de los efectos de la luz visible (efecto óptico) que llega al ojo. Dicha percepción es también conocida como la visión. Los distintos componentes fisiológicos involucrados en ésta se refieren conjuntamente como el sistema visual, y son la base de investigación en psicología, ciencia cognitiva, neurociencia y biología molecular."
anotaciones en gráficos,"En matemáticas aplicadas, el análisis topológico de los datos (en inglés: topological data analysis) (TDA) es un enfoque el análisis de conjuntos de datos que utiliza técnicas de topología. La extracción de información de conjuntos de datos de alta dimensión, incompletos y ruidosos suele ser un desafío, sin embargo, el análisis topológico de los datos proporciona un marco general para analizar dichos datos de una manera que no es sensible a la métrica particular elegida y proporciona reducción de dimensionalidad y robustez al ruido. Más allá de esto, hereda la funtorialidad, un concepto fundamental de las matemáticas modernas, de su naturaleza topológica, lo que le permite adaptarse a nuevas herramientas matemáticas."
pca,"En estadística, el análisis de componentes principales (en español ACP, en inglés, PCA) es una técnica utilizada para describir un conjunto de datos en términos de nuevas variables («componentes») no correlacionadas. Los componentes se ordenan por la cantidad de varianza original que describen, por lo que la técnica es útil para reducir la dimensionalidad de un conjunto de datos."
"jpeg, png, tiff",.raf (Fuji).crw .cr2 .cr3 (Canon).tif .k25 .kdc .dcs .dcr .drf (Kodak).rw2 (Panasonic - Lumix).nef .nrw (Nikon)​.orf (Olympus).dng (Adobe).ptx .pef (Pentax) .arw .srf .sr2 (Sony) .x3f (Sigma).erf (Epson).mef .mos (Mamiya).nef (Nikon Electronic Format) .mrw(Minolta).cap .tif .iiq (Phase One).r3d (Red).fff (Imacon).pxn (Logitech).bay (Casio)
svm,"Las máquinas de vectores de soporte o máquinas de vector soporte (del inglés support-vector machines, SVM) son un conjunto de algoritmos de aprendizaje supervisado desarrollados por Vladimir Vapnik y su equipo en los laboratorios de AT&T Bell."
knn,"El método de los k vecinos más cercanos (en inglés: k-nearest neighbors, abreviado k{displaystyle k}-nn)​ es un método de clasificación supervisada (Aprendizaje, estimación basada en un conjunto de formación y prototipos) que sirve para estimar la función de densidad F(x/Cj){displaystyle F(x/Cj)} de las predictoras x{displaystyle x} por cada clase Cj C_{j}}."
pca,"En estadística, el análisis de componentes principales (en español ACP, en inglés, PCA) es una técnica utilizada para describir un conjunto de datos en términos de nuevas variables («componentes») no correlacionadas. Los componentes se ordenan por la cantidad de varianza original que describen, por lo que la técnica es útil para reducir la dimensionalidad de un conjunto de datos."
rnn,"Red Neuronal Recurrente (RNN): La estructura de una red neuronal artificial es relativamente simple y se refiere principalmente a la multiplicación de matrices. Durante el primer paso, las entradas se multiplican por pesos inicialmente aleatorios, y sesgo, transformados con una función de activación y los valores de salida se utilizan para hacer una predicción. Este paso da una idea de lo lejos que está la red de la realidad."
gan,"Las redes generativas adversativas (RGAs), también conocidas como GANs en inglés, son una clase de algoritmos de inteligencia artificial que se utilizan en el aprendizaje no supervisado, implementadas por un sistema de dos redes neuronales que compiten mutuamente en una especie de juego de suma cero. Fueron presentadas por Ian Goodfellow et al. en 2014."
nlp,"El procesamiento de(l) lenguaje natural o de lengua(je)s naturales,​​ abreviado PLN​​ (o NLP por sus siglas en inglés), es un campo de las ciencias de la computación, de la inteligencia artificial y de la lingüística que estudia las interacciones entre las computadoras y el lenguaje humano, así como los detalles computacionales de las lenguas naturales. Se ocupa de la formulación e investigación de mecanismos eficaces computacionalmente para la comunicación entre personas y máquinas por medio del lenguaje natural, es decir, de las lenguas del mundo. No trata de la comunicación por medio de lenguas naturales de una forma abstracta, sino de diseñar mecanismos para comunicarse que sean eficaces computacionalmente —que se puedan realizar por medio de programas que ejecuten o simulen la comunicación—. Los modelos aplicados se enfocan no solo a la comprensión del lenguaje de por sí, sino a aspectos generales cognitivos humanos y a la organización de la memoria. El lenguaje natural sirve solo de medio para estudiar estos fenómenos. Hasta la década de 1980, la mayoría de los sistemas de PLN se basaban en un complejo conjunto de reglas diseñadas a mano. A partir de finales de 1980, sin embargo, hubo una revolución en PLN con la introducción de algoritmos de aprendizaje automático para el procesamiento del lenguaje.​​"
rnn,"Red Neuronal Recurrente (RNN): La estructura de una red neuronal artificial es relativamente simple y se refiere principalmente a la multiplicación de matrices. Durante el primer paso, las entradas se multiplican por pesos inicialmente aleatorios, y sesgo, transformados con una función de activación y los valores de salida se utilizan para hacer una predicción. Este paso da una idea de lo lejos que está la red de la realidad."
tts,"El Audi TT es un automóvil deportivo producido por el fabricante alemán Audi AG. Se ha ofrecido en carrocerías cupé y roadster. Las primeras dos generaciones se ensamblaron en la subsidiaria ubicada en Győr, Hungría, usando carrocerías fabricadas y pintadas en la planta de Audi en Ingolstadt;​ y con partes hechas completamente por la fábrica húngara para la tercera generación.​"
stt,El torque de transferencia de espín (STT) es un efecto en el que modifica la orientación de una capa magnética en una unión de túnel magnético o válvula de espín utilizando una corriente polarizada por espín.
